izo,lat,lon
110380169,50.0085018,14.4488736
110450591,49.8082535,14.7525921
151040583,49.2146451,16.6304488
045246751,50.0804412,14.4152163
045246726,50.0908022,14.4288582
049276212,50.0366242,14.4988731
018627994,50.0862256,14.3754717
048546119,50.1074233,14.4399394
108001539,50.1263462,14.4999289
108002411,50.1429688,14.1185963
110036271,49.412857,14.6607186
060064161,49.4109735,14.6745185
110100221,49.5061166,12.8807083
064353290,49.7467931,13.3497757
110034015,49.7773979,13.3616104
108006018,50.7287013,15.1723013
110018141,50.7758371,15.0400904
108043762,50.5364818,14.1318716
102441073,50.6070241,13.6192558
108019578,50.6808371,13.8732071
108037738,50.6797993,13.8710033
043475621,50.217781,15.8153194
000191817,50.1648638,16.2793325
042887941,50.0961729,16.0909224
108024181,49.6554407,13.2908386
041565690,49.2112116,16.5783654
049486101,49.2066254,16.5523352
110300238,49.2274109,16.5275337
000402443,49.2016889,16.5806296
049157841,49.2421463,17.6642375
110009274,49.3993489,15.5897723
181134799,49.0712204,17.4728663
110009312,49.0707768,17.4719067
108012671,49.9857551,17.4582363
108046184,49.6005475,18.146985
049588095,49.5900252,17.2544657
108035913,49.9498526,17.8680713
060340151,49.8107763,18.2552154
044940998,49.83868,18.2942849
042962358,49.5787881,17.2578692
110009291,49.4580197,17.452375
060042281,49.4715901,17.97031
044159765,49.3365201,17.9843238
049582071,49.4652376,18.1431213
181033666,50.0863665,14.4570868
000638447,50.0895532,14.4207009
060446218,50.0908539,14.4313451
061388866,50.0888639,14.4245479
000638595,50.0847148,14.4030132
110001656,50.0842552,14.4052073
063109662,50.0880261,14.4053587
061388726,50.0913019,14.4202035
061387002,50.0844913,14.4316467
013094394,50.0782639,14.415694
000638293,50.0895045,14.4250175
000638307,50.0789969,14.4171513
110032641,50.0835677,14.4149603
060449004,50.0845308,14.4321092
110001630,50.0784839,14.4253988
000334677,50.0691789,14.4184051
000638552,50.0672291,14.4589094
000638463,50.0756606,14.4166803
000283762,50.0772948,14.4388558
000638374,50.0754339,14.4260084
044846738,50.0751873,14.4383019
110001664,50.0754339,14.4260084
013818082,50.1085242,14.4487076
000638455,50.0758945,14.4159392
045268983,50.0772948,14.4388558
000638366,50.0696723,14.4156768
000549185,50.0736808,14.4356339
045768561,50.0756789,14.4265201
000335410,50.0838335,14.4503912
110002008,50.0824421,14.4511815
000312835,50.0814037,14.4556622
000335398,50.0923266,14.475662
000638609,50.0770572,14.4773888
108029310,50.0188605,14.4412404
000335533,50.0524473,14.4550183
000638358,50.0546128,14.4471143
000335606,50.0451006,14.4926491
000639028,50.0989159,14.3922453
000335487,50.0623079,14.4349025
044809875,50.034355,14.5582979
048109355,50.0738482,14.4418701
108029409,50.0530462,14.3330178
049366629,50.0287405,14.5188412
108029417,50.0304065,14.4259065
014891531,50.0526853,14.4553929
110007778,50.0094812,14.4237765
181077272,50.0094812,14.4237765
110001648,50.0203402,14.4925249
110036514,50.0242026,14.4919964
181035669,50.022017,14.4990658
041193041,50.0727845,14.4378136
000335479,50.0434058,14.4528235
044796277,50.0281809,14.5355526
108029344,50.0580997,14.4324749
007810041,50.0387711,14.4244108
048134023,50.0457006,14.4306116
102101337,50.0457006,14.4306116
110001621,50.0528886,14.4523055
045247226,50.0477341,14.4867503
108029395,50.1087756,14.5576103
061385271,50.0709756,14.3993644
061384992,49.9832668,14.3571646
061385701,50.0803692,14.4068295
060446234,50.0520406,14.3403734
061386855,50.046716,14.3579589
041194462,50.0108716,14.4150118
108023079,50.011431,14.3928447
108023087,49.9865291,14.356682
049232886,50.0690432,14.3060296
061385298,50.0680678,14.3730819
014891263,50.0484737,14.4067066
110001885,50.0739595,14.5201812
110007701,50.0905565,14.4401972
045248001,50.0757017,14.4018915
061386022,50.0993214,14.3596469
061388246,50.0878859,14.3873313
061384534,50.1044781,14.4079859
049625446,50.0855773,14.3426927
011217731,50.0924824,14.5165085
000639494,50.0960544,14.2936183
060447109,50.0761942,14.4495944
061388068,50.0999417,14.3869312
061385891,50.1076638,14.4406077
110034741,50.1173433,14.4229011
000336475,50.1084768,14.4708297
000638501,50.0764946,14.4782135
108000877,50.0882356,14.4602713
000638218,50.0901151,14.4485577
110036204,50.0904852,14.4492546
108056911,50.0377984,14.3383971
000340383,50.1322294,14.4207798
000064556,50.0899579,14.4400993
000550591,49.1910514,16.596357
151040290,49.8107763,18.2552154
016499671,50.1284804,14.4109945
102160261,50.1283623,14.4094352
045796955,50.0389006,14.4759763
049356062,50.1284167,14.4435573
110380223,50.0918364,14.4447203
016190483,50.1002578,14.4903999
108001342,50.1263462,14.4999289
000638404,50.0917251,14.5127346
108001270,50.1512576,14.5241931
108001369,50.1089294,14.5034742
011233354,50.0685008,14.2949151
108001288,50.104421,14.5831358
014891409,50.1006836,14.4939458
108001491,50.1190242,14.4913744
000638170,50.1187838,14.4872064
000300268,50.0891736,14.5150949
110380339,50.0903079,14.6663756
108001547,50.1042577,14.569515
110007786,50.1313606,14.4756259
181054531,50.1313606,14.4756259
110007808,50.0047831,14.4057121
000638188,50.1092363,14.5040042
000222411,50.1034663,14.5133345
000563722,50.1094962,14.5556419
044264445,50.1166153,14.4219559
045270082,50.084662,14.4809487
108001571,50.1475878,14.5286487
110007671,50.1049156,14.5593594
110011350,50.10605,14.5490483
060162961,50.0502595,14.5212542
000638421,50.0802332,14.5029631
012583731,50.0424774,14.5555035
047608960,50.0618872,14.4426424
000638412,50.0844249,14.4916187
000638510,50.0707142,14.4521347
041190726,50.0842415,14.4941673
000638200,50.0693195,14.4965905
000639133,50.0646361,14.5009932
063109026,50.0722151,14.4775458
000013757,50.1433923,14.5089407
016996593,50.0904988,14.4399556
061664707,49.7801355,14.6868127
061664651,49.7848559,14.6829426
061664553,49.7052763,14.8924813
061664537,49.6961688,14.8933788
061664715,49.7748385,14.6960691
107820013,49.7789341,14.6796413
061664545,49.7031235,14.9003498
107820340,49.7063113,14.9073688
110450311,49.756595,14.5332775
061662356,50.1937774,14.1178179
047558407,49.9591776,14.0725197
047558458,49.8352358,13.906828
047558415,49.9611572,14.0744015
047558504,49.837535,13.8956954
000664740,49.9651249,14.0641066
000069027,50.1433676,14.0937987
000068781,50.2333751,14.0844475
000069124,50.2326775,14.0841088
043784054,50.1375578,14.1028856
181044510,50.1283239,14.1207909
000069019,50.140633,14.1005697
000068772,50.1430169,14.0981214
107820102,50.1315154,14.1136565
150027265,50.1326183,14.2346936
150067861,50.12358,14.1216413
000068799,50.0219721,15.1980338
000069132,50.0271282,15.2029531
000068802,50.0748865,14.8553986
044683405,50.0230927,15.2101295
000641065,50.0246965,15.2002759
000069043,50.0078291,15.2304961
110036816,50.0282254,15.1903559
061924032,49.9425879,15.2575865
061924041,49.9125981,15.3920542
061924008,49.9081428,15.3961871
107820668,49.9169569,15.3862001
049797999,49.9024904,15.3934668
061924059,49.9532472,15.2758173
110036778,49.9547359,15.2663031
