id,platce,platce_ico,dodavatel,dodavatel_ico,hodnota_czk,datum,rok,predmet,je_skola
37654805,"Základní škola a Mateřská škola Bohumín Bezručova 190 okres Karviná, příspěvková organizace",75029111,Baar Group s.r.o.,06745342,126041.0,2026-04-15,2026,školní nábytek,True
37640877,"Střední průmyslová škola, Ústí nad Labem, Resslova 5, příspěvková organizace",00082201,"KOVO, výrobní družstvo",00030325,5863811.17,2026-04-20,2026,Kupní smlouva - vybavení školy 1.část školní nábytek,True
37628545,Základní škola Povážská Strakonice,70876240,"Sdružení POMOC, z.s.",65051238,231475.0,2026-04-16,2026,Objednávka - školní nábytek.,True
37330577,"Základní škola Karlovy Vary, Krušnohorská 11, příspěvková organizace",69979359,MULTIP Moravia s.r.o.,16627971,86549.59,2026-03-02,2026,Kupní smlouva - školní nábytek,True
37297265,"Základní škola Ústí nad Labem, Vinařská 1016/6, příspěvková organizace",44555229,INSGRAF s.r.o.,26836475,93284.0,2026-03-23,2026,Nábytek do školní družiny ,True
37283089,"Základní škola Hustopeče, Komenského 163/2, okres Břeclav, příspěvková organizace",49137077,SKOLATO s.r.o.,05459818,88920.0,2025-12-29,2025,Objednávka-školní nábytek,True
37256637,"Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace",47611057,Milan Palát,71084371,130000.0,2026-02-23,2026,Objednávka-nábytek pro školní cvičnou kuchyni,True
37148029,"Základní škola Hustopeče, Komenského 163/2, okres Břeclav, příspěvková organizace",49137077,SKOLATO s.r.o.,05459818,157729.0,2025-12-18,2025,Objednávka-školní nábytek,True
37146757,"Základní škola Hustopeče, Komenského 163/2, okres Břeclav, příspěvková organizace",49137077,SKOLATO s.r.o.,05459818,157729.0,2025-12-16,2025,Objednávka-školní nábytek,True
37100501,"Základní škola, Praha 10-Hostivař, Kozinova 1000",47611332,Křovina s.r.o.,26424819,108000.0,2026-02-20,2026,Dohoda o narovnání (školní nábytek r.2022),True
36917089,"Střední odborná škola a Střední odborné učiliště obchodu a služeb, Chrudim, Čáslavská 205",13582259,Kamil Šudrych,42263816,235283.0,2026-02-18,2026,Nábytek do školní restaurace,True
36911833,2. základní škola Plzeň,66362563,VP TRUHLÁŘSTVÍ s.r.o.,07027460,72072.0,2026-02-11,2026,Zhotovení nástavců na nábytek do 3 tříd v nástavbě školní družiny.,True
36827745,"Obchodní akademie, Česká Lípa, náměstí Osvobození 422, příspěvková organizace",49864637,ABCD Služby školám s.r.o.,62244892,87954.0,2026-02-16,2026,Objednávka - školní nábytek ,True
36795357,"Střední škola, Semily, příspěvková organizace",00528714,LexFin s.r.o.,29361371,64179.36,2025-12-23,2025,Objednávka- školní nábytek,True
36791041,"Střední odborné učiliště společného stravování, Poděbrady, Dr. Beneše 413/II",00664359,SANTAL spol. s r. o.,42408121,239410.6,2026-02-12,2026,"Školní nábytek, Inovace 2026",True
36759173,Východočeské divadlo Pardubice,00088358,"Divadlo Na Fidlovačce, z.ú.",09218521,234400.0,2026-02-04,2026,Objednávka - výroba a úprava dekorace,False
