nazev,nazev_zkrac,izo,ico,druh,druh_nazev,kraj,okres,obec,ulice,psc,kapacita,pocet_zaku,email,telefon,web,zrizovatel,zrizovatel_typ,reditel,datum_vzniku,rúian
"Modrý klíč - základní škola speciální a mateřská škola speciální, o.p.s.","Modrý klíč - ZŠ spec. a MŠ spec., o.p.s.",110380169,25765710,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Smolkova 567,14200,18.0,12,modryklic@modry-klic.cz,,,,5,Ing. Mgr. Milana Remarová,2005-01-01,21851018.0
ARCHA základní škola a mateřská škola při Církvi československé husitské,ARCHA ZŠ a MŠ při Církvi čs. husitské,110450591,63822211,B00,Základní škola,Středočeský kraj,Benešov,Petroupim,None 74,25601,78.0,54,skolaarcha@skolaarcha.cz,,,Pražská diecéze Církve československé husitské,6,Mgr. Vladimíra Skopcová,2005-01-01,14377781.0
"Mateřská škola a základní škola Sluníčko - Montessori, s.r.o.","MŠ a ZŠ Sluníčko, s.r.o.",151040583,25338790,B00,Základní škola,Jihomoravský kraj,Brno-město,Brno,Provazníkova 1578,61300,90.0,62,caslavova@slunicko-montessori.cz,,,,5,Mgr. Alena Bilerová,2008-02-13,25470621.0
Základní škola sv. Voršily v Praze,Základní škola sv. Voršily v Praze,045246751,45246751,B00,Základní škola,Hlavní město Praha,CZ0101,Praha,Ostrovní 2070,11000,540.0,378,skola@zssv.cz,,,Sestry voršilky Římské unie,6,"PhDr. Filip Roubíček, Ph.D.",2005-01-01,21714673.0
Veselá škola - církevní základní škola a základní umělecká škola,Veselá škola - církevní ZŠ a ZUŠ,045246726,45246726,B00,Základní škola,Hlavní město Praha,CZ0101,Praha,Soukenická 1088,11000,230.0,161,info@veselaskola.cz,,,Arcibiskupství pražské,6,Mgr. Markéta Těhníková,2005-01-01,21709211.0
Základní škola Klíček,Základní škola Klíček,049276212,25612778,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Donovalská 1863,14900,160.0,112,klicek@klicek.cz,,,Sdružení příznivců netradiční školy,5,Mgr. David Havelka,2005-01-01,21844216.0
"Základní škola Duhovka, s.r.o.","Základní škola Duhovka, s.r.o.",018627994,25625845,B00,Základní škola,Hlavní město Praha,CZ0106,Praha,Nad Kajetánkou 134,16900,280.0,196,jindrich.kitzberger@duhovkaskola.cz,,,,5,RNDr. Jindřich Kitzberger,2005-01-01,22148671.0
Bratrská škola - církevní základní škola,Bratrská škola - církevní základní škola,048546119,48546119,B00,Základní škola,Hlavní město Praha,CZ0107,Praha,Rajská 300,17000,220.0,154,rostislav.konopa@bratrska.cz,,,Českobratrská církev evangelická,6,Mgr. Rostislav Konopa,2005-01-01,22297669.0
Soukromá základní škola UNIVERZUM s.r.o.,Soukromá základní škola UNIVERZUM s.r.o.,108001539,25132083,B00,Základní škola,Hlavní město Praha,CZ0109,Praha,Českolipská 373,19000,190.0,133,marketa.smolarova@seznam.cz,,,,5,Mgr. Markéta Smolařová,2005-01-01,25936671.0
Základní škola Maltézských rytířů,Základní škola Maltézských rytířů,108002411,00873730,B00,Základní škola,Středočeský kraj,Kladno,Kladno,Školská 349,27201,180.0,125,skola@zsmr.cz,,,Suverénní řád Maltézských rytířů - České velkopřevorství,6,Mgr. Anna Salátová,2005-01-01,1417321.0
