nazev,nazev_zkrac,izo,ico,druh,druh_nazev,kraj,okres,obec,ulice,psc,kapacita,pocet_zaku,email,telefon,web,zrizovatel,zrizovatel_typ,reditel,datum_vzniku,rúian,lat,lon,competition_count,competition_density,dotace_had,dotace_last_year,dotace_total_czk,score_total,score_dotace,score_size,score_vz_gap,score_region,score_competition,pristup,pristup_label,priorita,rank
Základní škola a mateřská škola Nehvizdy,Základní škola a mateřská škola,102438102,75030365,B00,Základní škola,Středočeský kraj,Praha-východ,Nehvizdy,Bedřicha Mouchy 243,25081,1180.0,826,reditel@skolanehvizdy.cz,,,Městys Nehvizdy,2,PaedDr. Luboš Rýdlo,2005-01-01,11702354.0,50.1314804,14.7247195,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,1
Střední škola managementu a služeb s.r.o.,SŠ managementu a služeb a ZŠ s.r.o.,110001648,25140493,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Ekonomická 957,14800,1030.0,721,sousos@sousos.cz,,,,5,Ing. Tamara Krčmářová,2005-01-01,21884897.0,50.0203402,14.4925249,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,2
"Fakultní základní škola a mateřská škola Barrandov II při PedF UK, Praha 5 - Hlubočepy, V Remízku 7/919, příspěvková organizace",Fakult. ZŠ a MŠ Barrandov II při PedF UK,102020442,69781745,B00,Základní škola,Hlavní město Praha,CZ0105,Praha,Záhorského 887,15200,1000.0,700,daniela.sejpalova@fzsbarr.cz,,,Městská část Praha 5,2,Mgr. Milan Holub,2005-01-01,22712461.0,50.0295893,14.3732108,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,3
"ŠKODA AUTO a.s., Střední odborné učiliště strojírenské, odštěpný závod","ŠKODA AUTO a.s., SOU strojírenské, o.z.",107820153,00177041,C00,Střední škola,Středočeský kraj,Mladá Boleslav,Mladá Boleslav,tř. Václava Klementa 869,29301,1150.0,805,sou@skoda-auto.cz,,,,5,Ing. Martin Slabihoudek,2005-01-01,21249407.0,50.4269313,14.9186475,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,4
"Základní škola Vladislava Vančury, Praha - Zbraslav",Základní škola Vladislava Vančury,102385351,61386961,B00,Základní škola,Hlavní město Praha,CZ0105,Praha,U lékárny 592,15600,1160.0,812,skola@zs.zbraslav.info,,,Městská část Praha - Zbraslav,2,Mgr. Lucie Burešová,2005-01-01,22136126.0,49.974669,14.3932748,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,5
"Střední průmyslová škola dopravní, a.s.","Střední průmyslová škola dopravní, a.s.",110001885,25632141,C00,Střední škola,Hlavní město Praha,CZ0105,Praha,Sazečská 3206,10800,1450.0,1014,sobotka@sps-dopravni.cz,,,,5,Ing. Lukáš Sobotka,2005-01-01,22758356.0,50.0739595,14.5201812,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,6
"Základní škola, Praha 13, Kuncova 1580",Základní škola,102385360,67365213,B00,Základní škola,Hlavní město Praha,CZ0105,Praha,Kuncova 1580,15500,1080.0,756,zs.kuncova@tiscali.cz,,,Městská část Praha 13,2,PaedDr. Pavel Petrnoušek,2005-01-01,22119370.0,50.0505108,14.3130452,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,7
"Smíchovská střední průmyslová škola, gymnázium a hotelová škola Radlická, příspěvková organizace","Smíchovská SPŠ, gymnázium a hotelová škola",061386855,61386855,C00,Střední škola,Hlavní město Praha,CZ0105,Praha,Radlická 591,15800,1400.0,979,petr.ruzicka@ssps.cz,,,Hlavní město Praha,7,Ing. Radko Sáblík,2005-01-01,22706941.0,50.046716,14.3579589,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,8
"Základní škola genpor. Františka Peřiny, Praha 6 - Řepy, Socháňova 19/1139",Základní škola genpor. Františka Peřiny,048133876,48133876,B00,Základní škola,Hlavní město Praha,CZ0106,Praha,Laudova 1024,16300,1450.0,1014,zssoch@volny.cz,,,Městská část Praha 17,2,Mgr. Jarmila Pavlišová,2005-01-01,22250131.0,50.0665447,14.3135755,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,9
Akademie řemesel Praha - Střední škola technická,Akademie řemesel Praha - SŠ technická,007810041,14891522,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Zelený pruh 1294,14700,1400.0,979,dmatonoha@zelenypruh.cz,,,Hlavní město Praha,7,Ing. Drahoslav Matonoha,2005-01-01,21870217.0,50.0387711,14.4244108,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,10
Střední škola gastronomická a hotelová s.r.o.,SŠ gastronomická a hotelová s.r.o.,108029417,25097547,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Mikuleckého 1314,14700,3244.0,2270,info@ssgh.cz,,,,5,PhDr. Karel Vratišovský,2005-01-01,21810125.0,50.0304065,14.4259065,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,11
"Základní škola, Praha 4, Ke Kateřinkám 1400",Základní škola,102101876,61388483,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Ke Kateřinkám 1400,14900,1000.0,700,skola@zskaterinky.cz,,,Městská část Praha 11,2,Mgr. Jiří Šimon,2005-01-01,21839531.0,50.0234737,14.5176082,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,12
"Základní škola a Základní umělecká škola Líbeznice, příspěvková organizace",Základní škola a Základní umělecká škola,108003922,00875911,B00,Základní škola,Středočeský kraj,Praha-východ,Líbeznice,Martinova 142,25065,1550.0,1085,grunt@zslibeznice.cz,,,Obec Líbeznice,2,PhDr. František Grunt,2005-01-01,12651176.0,50.1926625,14.4951625,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,13
Základní škola Hostivice,Základní škola,000241237,62931504,B00,Základní škola,Středočeský kraj,Praha-západ,Hostivice,U Zámecké zdi 1704,25301,1000.0,700,skola@zshostivice.cz,,,Město Hostivice,2,Mgr. Michaela Rosenkranzová,2005-01-01,25837729.0,50.0801334,14.2515924,0,0.5,False,,0,60.0,0.0,25.0,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,14
