rank,nazev,obec,okres,kraj,pocet_zaku,email,telefon,web,score_total,priorita,pristup,pristup_label,dotace_had,dotace_last_year,score_dotace,score_size,score_vz_gap,score_region,score_competition
1,Základní škola a mateřská škola Nehvizdy,Nehvizdy,Praha-východ,Středočeský kraj,826,reditel@skolanehvizdy.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
2,Střední škola managementu a služeb s.r.o.,Praha,CZ0104,Hlavní město Praha,721,sousos@sousos.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
3,"Fakultní základní škola a mateřská škola Barrandov II při PedF UK, Praha 5 - Hlubočepy, V Remízku 7/919, příspěvková organizace",Praha,CZ0105,Hlavní město Praha,700,daniela.sejpalova@fzsbarr.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
4,"ŠKODA AUTO a.s., Střední odborné učiliště strojírenské, odštěpný závod",Mladá Boleslav,Mladá Boleslav,Středočeský kraj,805,sou@skoda-auto.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
5,"Základní škola Vladislava Vančury, Praha - Zbraslav",Praha,CZ0105,Hlavní město Praha,812,skola@zs.zbraslav.info,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
6,"Střední průmyslová škola dopravní, a.s.",Praha,CZ0105,Hlavní město Praha,1014,sobotka@sps-dopravni.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
7,"Základní škola, Praha 13, Kuncova 1580",Praha,CZ0105,Hlavní město Praha,756,zs.kuncova@tiscali.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
8,"Smíchovská střední průmyslová škola, gymnázium a hotelová škola Radlická, příspěvková organizace",Praha,CZ0105,Hlavní město Praha,979,petr.ruzicka@ssps.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
9,"Základní škola genpor. Františka Peřiny, Praha 6 - Řepy, Socháňova 19/1139",Praha,CZ0106,Hlavní město Praha,1014,zssoch@volny.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
10,Akademie řemesel Praha - Střední škola technická,Praha,CZ0104,Hlavní město Praha,979,dmatonoha@zelenypruh.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
11,Střední škola gastronomická a hotelová s.r.o.,Praha,CZ0104,Hlavní město Praha,2270,info@ssgh.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
12,"Základní škola, Praha 4, Ke Kateřinkám 1400",Praha,CZ0104,Hlavní město Praha,700,skola@zskaterinky.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
13,"Základní škola a Základní umělecká škola Líbeznice, příspěvková organizace",Líbeznice,Praha-východ,Středočeský kraj,1085,grunt@zslibeznice.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
14,Základní škola Hostivice,Hostivice,Praha-západ,Středočeský kraj,700,skola@zshostivice.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
15,"Základní škola Praha 7, Strossmayerovo náměstí 4",Praha,CZ0107,Hlavní město Praha,798,frantisek.rada@zs-stross.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
16,"Základní škola Zdenky Braunerové Roztoky, příspěvková organizace",Roztoky,Praha-západ,Středočeský kraj,717,info@zszb.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
17,"Základní škola Černošice, příspěvková organizace",Černošice,Praha-západ,Středočeský kraj,714,zsc@zscernos.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
18,Střední škola obchodní,Praha,CZ0102,Hlavní město Praha,840,sekretariat@ssob.cz,,,60.0,A,PM,🟢 Poptávkové řízení — oslovit ASAP,False,,0.0,25.0,15.0,15.0,5.0
