id,predmet,platce,platce_ico,dodavatel,hodnota_czk,datum,odkaz,zdroj,stazeno,je_skola,je_nabytek,skola_nazev,skola_izo,skola_kraj,skola_priorita,skola_score
37640877,Kupní smlouva - vybavení školy 1.část školní nábytek,"Střední průmyslová škola, Ústí nad Labem, Resslova 5, příspěvková organizace",00082201,"KOVO, výrobní družstvo",5863811.17,2026-04-20,https://smlouvy.gov.cz/smlouva/37640877,RegistrSmluv,2026-05-08 18:04,True,True,"Střední průmyslová škola, Ústí nad Labem, Resslova 5, příspěvková organizace",000082201,Ústecký kraj,B,54.0
37689001,Kupní smlouva na školní nábytek včetně poskytnutí souvisejících výkonů vč. Přílohy č.1,"Základní škola Bruntál, Jesenická 10",00852805,InterŠKOL a.s.,795100.0,2026-04-22,https://smlouvy.gov.cz/smlouva/37689001,RegistrSmluv,2026-05-08 18:04,True,True,"Základní škola Bruntál, Jesenická 10",102008248,Moravskoslezský kraj,B,41.8
37628545,Objednávka - školní nábytek.,Základní škola Povážská Strakonice,70876240,"Sdružení POMOC, z.s.",231475.0,2026-04-16,https://smlouvy.gov.cz/smlouva/37628545,RegistrSmluv,2026-05-08 18:04,True,True,Základní škola Povážská Strakonice,107722232,Jihočeský kraj,B,52.2
37883193,"Školní nábytek, cenová nabídka, ID 1963","Gymnázium Roudnice nad Labem, příspěvková organizace",46773754,"Gymnázium Roudnice nad Labem, příspěvková organizace",148740.0,2026-05-06,https://smlouvy.gov.cz/smlouva/37883193,RegistrSmluv,2026-05-08 18:04,True,True,"Gymnázium Roudnice nad Labem, příspěvková organizace",000081990,Ústecký kraj,B,47.8
37864277,vybavení tříd 3.A a 3.B,"Základní škola Uničov, U Stadionu 849",64627519,"CONSULTA BÜROTECHNIK, s.r.o.",144668.0,2026-04-29,https://smlouvy.gov.cz/smlouva/37864277,RegistrSmluv,2026-05-08 18:04,True,True,"Základní škola Uničov, U Stadionu 849",102320837,Olomoucký kraj,B,41.8
37836857,Školní nábytek VIII. A,"Základní škola Máj II, M.Chlajna 23, České Budějovice",00581551,Moderní škola s.r.o.,143953.7,2026-05-04,https://smlouvy.gov.cz/smlouva/37836857,RegistrSmluv,2026-05-08 18:04,True,True,"Základní škola Máj II, M. Chlajna 23, České Budějovice",000581551,Jihočeský kraj,A,58.5
37654805,školní nábytek,"Základní škola a Mateřská škola Bohumín Bezručova 190 okres Karviná, příspěvková organizace",75029111,Baar Group s.r.o.,126041.0,2026-04-15,https://smlouvy.gov.cz/smlouva/37654805,RegistrSmluv,2026-05-08 18:04,True,True,"Základní škola a Mateřská škola Bohumín Bezručova 190 okres Karviná, příspěvková organizace",102156387,Moravskoslezský kraj,C,36.8
37781913,Objednávka - Nábytek pro školní knihovnu 2. stupně,"Základní škola Jindřichův Hradec II, Jarošovská 746",70981949,Truhlářství Milan Kluzák,118700.0,2026-04-30,https://smlouvy.gov.cz/smlouva/37781913,RegistrSmluv,2026-05-08 18:04,True,True,"Základní škola Jindřichův Hradec II, Jarošovská 746",107721139,Jihočeský kraj,B,52.2
37750709,Objednávka - dodávka školního a kancelářského nábytku,"Základní škola, Praha 9 - Černý Most, Vybíralova 964",61386618,MY DVA holding a.s.,335973.9,2026-04-28,https://smlouvy.gov.cz/smlouva/37750709,RegistrSmluv,2026-05-08 18:04,True,False,"Základní škola, Praha 9 - Černý Most, Vybíralova 964",108001296,Hlavní město Praha,A,57.5
37879949,Objednávka nábytku,"Základní škola Václava Havla, Poděbrady, Na Valech 45, okres Nymburk",61631485,AZ-PROŠKOLY s.r.o.,159803.02,2026-05-07,https://smlouvy.gov.cz/smlouva/37879949,RegistrSmluv,2026-05-08 18:04,True,False,"Základní škola Václava Havla, Poděbrady, Na Valech 45, okres Nymburk",047528800,Středočeský kraj,A,60.0
37625945,"Kupní smlouva - Nábytek pro přírodovědné centrum školy (učebna, laboratoř, přípravna a sklad), VZ č. 016/2026",Moravskoslezský kraj,70890692,VWR International s.r.o.,1623674.8,2026-04-16,https://smlouvy.gov.cz/smlouva/37625945,RegistrSmluv,2026-05-08 18:04,False,True,,,,,
37783345,ZŠ a MŠ Jana Broskvy - Nábytek do školní jídelny,Statutární město Brno,44992785,ALUXXON - TABULE s.r.o.,630171.0,2026-04-20,https://smlouvy.gov.cz/smlouva/37783345,RegistrSmluv,2026-05-08 18:04,False,True,,,,,
37821089,"malé regály, kovový nábytek - nová škola",Město Říčany,00240702,"DIRP, s.r.o.",341890.34,2026-04-29,https://smlouvy.gov.cz/smlouva/37821089,RegistrSmluv,2026-05-08 18:04,False,True,,,,,
